"","RecordNo","DateEntered","Habitat","HostSpecies","HostOrder","HostFamily","Synonyms","Food","genYr","CommonName","ProvinceI","InsectStatus","ModificationDate","InCanada","ChangeSpeciesTo","CommonNameOther","Complete","AdditionalReferences"
"114",115,"1/6/1996","Forest","Neodiprion merkeli","Hymenoptera","Diprionidae","","Pinus elliottii var. densa","","slash pine sawfly","not in Canada","Pest","4/10/2001","N 67","Verified, Bosik 1997. Verified, OSU Hymenoptera db.  ","","",""
"115",116,"1/6/2096","Forest","Neodiprion nanulus contortae","Hymenoptera","Diprionidae","","Pinus contorta, Pinus ponderosa","","","AB","Pest","11/13/2000","Y 67","","","",""
"116",117,"1/6/1996","Forest","Neodiprion pratti banksianae","Hymenoptera","Diprionidae","Neodiprion banksianae","Pinus banksiana","","jack pine sawfly","NB, QC, ON, MB","Pest","3/15/2001","Y 67","Verified, Bosik 1997.","","",""
"117",118,"1/6/1996","Forest","Neodiprion sertifer","Hymenoptera","Diprionidae","","Pinus spp.","","European pine sawfly","ON","Pest","4/10/2001","Y 67","Verified, Bosik 1997. Verified, OSU Hymenoptera db.  ","","",""
"118",119,"1/6/1996","Forest","Neodiprion swainei","Hymenoptera","Diprionidae","","Pinus banksiana","","Swaine jack pine sawfly","NB, QC, ON, MB","Pest","4/10/2001","Y 67","Verified, Bosik 1997. Verified, OSU Hymenoptera db.  ","","",""
"119",120,"1/6/1996","Forest","Neodiprion taedae linearis","Hymenoptera","Diprionidae","","Pinus taeda, Pinus echinata","","loblolly pine sawfly","not in Canada","Pest","3/15/2001","N 67","Verified, Bosik 1997.","","",""
"120",121,"1/6/1996","Forest","Neodiprion taedae taedae","Hymenoptera","Diprionidae","","Pinus taeda","","spotted loblolly pine sawfly","not in Canada","Pest","3/15/2001","N 67","Verified, Bosik 1997.","","",""
"121",122,"1/6/1996","Forest","Neodiprion virginianus","Hymenoptera","Diprionidae","Neodiprion virginiana","Pinus virginiana, Pinus clausa","","","not in Canada","","4/10/2001","N 67","Verified, OSU Hymenoptera db.  ","","",""
"122",123,"1/6/2096","","Iridomyrmex itoi","Hymenoptera","Formicidae","","","","","not in Canada","","2/12/2099","N 67","","","",""
"123",124,"1/6/2096","","Cephalcia issiki","Hymenoptera","Pamphiliidae","","","","","not in Canada","","2/12/2099","N 67","","","",""
"124",125,"1/6/1996","Forest","Sirex juvencus","Hymenoptera","Siricidae","","Pinus spp., fir (Abies), Larix spp.","","","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK","Pest","4/10/2001","Y 67","Verified, Pittaway 1991. Verified, OSU Hymenoptera db.","","",""
"125",126,"1/6/1996","Forest","Sirex noctilio","Hymenoptera","Siricidae","","fir (Abies), pine (Pinus), Pinus radiata, Picea, Larix, Pseudotsuga","","","ON, MB","Pest","4/10/2001","Y 67","Verified, OSU Hymenoptera db.","","",""
"126",127,"1/6/2096","","Urocerus gigas gigas","Hymenoptera","Siricidae","","","","giant woodwasp","not in Canada","Pest","2/12/2099","N 8, N 67","","Y 8","",""
"127",128,"1/6/1996","","Urocerus tardigradus","Hymenoptera","Siricidae","","","","","not in Canada","","4/10/2001","N 67","Verified, OSU Hymenoptera db.","","",""
"128",129,"1/6/1996","Forest","Xeris spectrum","Hymenoptera","Siricidae","","fir (Abies), Pinus, Larix, Picea, Tsuga, Pseudtsuga","","","NB, BC","Pest","4/10/2001","Y 67","Verified, OSU Hymenoptera db.","","",""
"129",130,"1/6/2096","","Anoplonyx destructor","Hymenoptera","Tenthredinidae","","","","","not in Canada","","2/12/2099","N 67","","","",""
"130",131,"1/6/2096","Crop","Nematus olfaciens","Hymenoptera","Tenthredinidae","","black, red and white currants",">1","black currant sawfly","not in Canada","Pest","11/7/2000","N 8, N 67","","Y 8","y",""
"131",132,"1/6/1996","Forest","Pikonema dimmockii","Hymenoptera","Tenthredinidae","","Picea spp.","","greenheaded spruce sawfly","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","Pest","3/15/2001","Y 67","Verified, Bosik 1997.","","",""
"132",133,"1/6/1996","Forest","Pristiphora erichsonii","Hymenoptera","Tenthredinidae","","Larix spp.","","larch sawfly","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","Pest","4/10/2001","Y 67","Verified, Bosik 1997. Verified, OSU Hymenoptera db.","","",""
"133",134,"1/6/1996","Forest","Pristiphora geniculata","Hymenoptera","Tenthredinidae","","Sorbus","","mountain-ash sawfly","NF, NS, PE, NB, QC, ON","Pest","4/10/2001","Y 67","Verified, Bosik 1997. ","","",""
"134",135,"1/6/2096","","Trichiocampus irregularis","Hymenoptera","Tenthredinidae","","","","","not in Canada","","2/12/2099","N 67","","","",""
"135",136,"1/6/2096","Forest","Trichiocampus viminalis","Hymenoptera","Tenthredinidae","","Populus, Salix","","","NF, NS, PE, NB, QC, ON, BC","Pest","11/13/2000","Y 67","","","",""
"136",137,"1/6/2096","","Anthela varia","Lepidoptera","Anthelidae","","Macadamia terhifolia (Macadamia)","","variegated hairy caterpillar","not in Canada","Pest","2/12/2099","N 33, N 35","","Y 35","",""
"137",138,"1/6/2096","","Pterolocera amplicornis","Lepidoptera","Anthelidae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"138",139,"1/6/1996","crop","Amsacta albistriga","Lepidoptera","Arctiidae","","millet, grain legumes, cotton (Gossypium), groundnut, pigeon peas, cowpeas, Vigna mungo, Calotropis gigantea","","","not in Canada","Pest","3/24/2001","N 3","","","","77"
"139",140,"1/6/1996","","Amsacta moorei","Lepidoptera","Arctiidae","","peanut / groundnut (Arachis hypogaea), cotton (Gossypium), bean (Phaseolus), safflower, cowpeas, Vigna radiata, Vigna aconitifolia, Pennisetum glaucum, sunn hemp, corn/maize (Zea mays), sorghum, sesame, Eclipta alba, Euphorbia hirta, melons, Ricinus communis","","tiger moth","not in Canada","Pest","3/24/2001","N 3","","Y 35","","77"
"140",142,"1/6/1996","Orchard, forest","Arctia caja","Lepidoptera","Arctiidae","","alder (Alnus), apple (Malus),  cherry (Prunus),  poplar (Populus), willow (Salix)","","","not in Canada if same as A. caja waroi, then in canada","","3/24/2001","N 3","","","",""
"141",143,"1/6/2096","","Arctia villica","Lepidoptera","Arctiidae","","","","","not in Canada","","2/12/2099","N 3","","","",""
"142",144,"1/6/2096","","Ardices glatignyi","Lepidoptera","Arctiidae","","","","","not in Canada","","2/12/2099","N 3","","","",""
"143",145,"1/6/2096","crop","Diaphora mendica","Lepidoptera","Arctiidae","","lettuce, many other low-growing plants","","","not in Canada","Pest","11/7/2000","N 3","","","","77"
"144",146,"1/6/2096","orchard","Hypercompe icasia","Lepidoptera","Arctiidae","Ecpantheria icasia","bananas, Citrus, Vanilla","","","not in Canada","Pest","11/13/2000","N 3","","","","77"
"145",147,"1/6/1996","crop","Estigmene acrea","Lepidoptera","Arctiidae","","lettuces, beet (Beta), cotton, Phaseolus, cabbages, corn/maize (Zea mays), globe artichokes, tomatoes, Helianthus",">1","saltmarsh caterpillar","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC","Pest","3/9/2001","Y 3, 47","Verified, Bosik 1997.","","y","77, 64"
"146",148,"1/6/1996","","Lophocampa argentata","Lepidoptera","Arctiidae","Halysidota argentata  ","Pseudotsuga","","silverspotted tiger moth","BC","Pest","3/15/2001","Y 3","Verified, Bosik 1997.","","","77"
"147",149,"1/6/1996","forest","Lophocampa caryae","Lepidoptera","Arctiidae","Halysidota caryae","Carya, walnuts, Juglans cinerea, Ulmus, Crataegus, Rosa, apple (Malus), Fraxinus, Tilia, Quercus, Robinia","1","hickory tussock moth, hickory tiger moth","NS, NB, ON","Pest","3/24/2001","Y 3","Verified, Bosik 1997.","Y 3","",""
"148",150,"1/6/1996","Garden","Pyrrharctia isabella","Lepidoptera","Arctiidae","Isia isabella","maple (Acer), Asclepias syrica, cotton, corn/maize (Zea mays), melons, peaches, tomatoes, PhaseolusFoliage of many garden crops",">1","banded woollybear, Isabella tiger moth","ref 77 says it is in Canada","","3/15/2001","Y 33","Verified, Bosik 1997.","64","","77, 64"
"149",151,"1/6/2096","","Panaxia dominula","Lepidoptera","Arctiidae","","","","","not in Canada","","2/12/2099","N 3","","","",""
"150",152,"1/6/2096","","Parasemia plantaginis","Lepidoptera","Arctiidae","","","","","not in Canada","","2/12/2099","N 3","","","",""
"151",153,"1/6/2096","","Pericallia ricini","Lepidoptera","Arctiidae","","","","","not in Canada","","2/12/2099","N 3","","","",""
"152",154,"1/6/2096","","Phragmatobia fuluginosa","Lepidoptera","Arctiidae","","","","","not in Canada","","2/12/2099","N 3","","","",""
"153",155,"1/6/2096","","Rhyparia purpurata","Lepidoptera","Arctiidae","","","","","not in Canada","","2/12/2099","N 3","","","",""
"154",156,"1/6/2096","","Spilarctia flammeolus","Lepidoptera","Arctiidae","","","","","not in Canada","","2/12/2099","N 3","","","",""
"155",157,"1/6/2096","","Spilosoma lutea","Lepidoptera","Arctiidae","","","","","not in Canada","","2/12/2099","N 3","","","",""
"156",158,"1/6/2096","","Spilosoma punctaria","Lepidoptera","Arctiidae","","","","","not in Canada","","2/12/2099","N 3","","","",""
"157",159,"1/6/1996","crop, orchard","Spilosoma virginica","Lepidoptera","Arctiidae","Diacrisia virginica","many garden and field crops, corn/maize (Zea mays), melons, peaches, tomatoes, grapes, lettuces, Phaseolus, sunflowers, lucerne, soyabeans, cotton, asparagus, Lonicera, Hydrangea",">1","yellow woollybear","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC,","Pest","5/22/2001","Y 3, Y 47","Verified, Bosik 1997.","","y","77"
"158",160,"1/6/1996","Forest","Bombyx mori","Lepidoptera","Bombycidae","","mulberry (Morus), osage-orange",">1","silkworm","not in Canada","Pest","5/9/2001","N 8","Verified, Bosik 1997.","","",""
"159",161,"1/6/2096","","Carposina niponensis","Lepidoptera","Carposinidae","","","","","in n. am. possibly in canada","","1/5/2000","Y 33","","","",""
"160",162,"1/6/1996","Forest","Coleophora laricella","Lepidoptera","Coleophoridae","","tamarack, larch (Larix)","","larch casebearer","NF, NS, PE, NB, QC, ON, BC","Pest","3/8/2001","Y 34, 42","Verified, Bosik 1997.","","",""
"161",163,"1/6/1996","","Danaus plexippus","Lepidoptera","Danaidae","","Milkweed",">1","monarch butterfly","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC,","","3/8/2001","Y 31","Verified, Bosik 1997.","","",""
"162",164,"1/6/1996","forest","Phryganidia californica","Lepidoptera","Notodontidae","","Quercus spp. , Castanopsis chrysophylla, Castanopsis sempervirens, Lithocarpus densiflorus",">1","California oakworm","not in Canada","Pest","3/15/2001","Y 33","Verified, Bosik 1997.","","y","77"
"163",165,"1/6/2096","forest","Falcaria lacertinaria","Lepidoptera","Drepanidae","Drepana lacertinaria","Betula","","","not in Canada","Pest","7/6/2099","N 33","","","","77"
"164",166,"1/6/2096","","Ethmia assamensis","Lepidoptera","Oecophoridae","","","","","not in Canada","","7/6/2099","N 33","Verify family?  Ethmiidae according to ref 77","","",""
"165",167,"1/6/2096","","Brachmia macroscopa","Lepidoptera","Gelechiidae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"166",168,"1/6/1996","crop","Pectinophora gossypiella","Lepidoptera","Gelechiidae","","cotton, okra, hollyhock, hibiscus and other malvaceous plants",">1","pink bollworm","not in Canada","Pest","3/15/2001","N 8, N 35","Verified, Bosik 1997.","","y",""
"167",169,"1/6/1996","orchard","Abraxas grossulariata","Lepidoptera","Geometridae","","gooseberry and currants, plum, sloe, apricot (Prunus), hazel, hawthorn, laurel","=1, >1","magpie moth","not in Canada","Pest","3/24/2001","N 3","","Y 8","y",""
"168",170,"1/6/1996","forest, orchard","Alsophila pometaria","Lepidoptera","Geometridae","","apple (Malus ); elm (Ulmus ); other fruit and shade trees","1","fall cankerworm","NS, PE, NB, QC, ON, MB, SK, AB, BC,","Pest","3/24/2001","Y 41","Verified, Bosik 1997.","","y",""
"169",171,"1/6/1996","Forest","Biston betularia cognataria","Lepidoptera","Geometridae","Amphidasis cognataria","alder (Alnus ), birch (Betula ), blueberry (Vaccinium ), elm (Ulmus ), hackberry, larch (Larix ), pecan (Carya illinoensis ), Prunus  spp., walnut (Juglans ), willow (Salix ), ","","pepper and salt moth","NF, NS, PE, NB, QC, ON, MB, SK, AB","Pest","3/6/2001","Y 47","Verified, Bosik 1997.","","",""
"170",172,"1/6/2096","","Aplocera plagiata","Lepidoptera","Geometridae","Anaitis plagiata","Hypericum perforatum and other Hypericum","","","BC","Beneficial","2/12/2099","Y 77","","","","77"
"171",173,"1/6/2096","Forest","Thallophaga hyperborea","Lepidoptera","Geometridae","Anthelia hyperborea","hemlock, fir, spruce","","","BC","Wildlife","2/12/2099","Y 41","","","",""
"172",174,"1/6/1996","orchard, forest","Apocheima pilosaria","Lepidoptera","Geometridae","","apple (Malus), apricot (Prunus), cherries, plums, Betula pubescens, Betula pendula, Quercus sp, Quercus rubra","","","not in Canada","Pest","3/24/2001","N 33","","","",""
"173",175,"1/6/1996","forest","Biston betularia","Lepidoptera","Geometridae","","alder (Alnus ), birch (Betula ), blueberry (Vaccinium ), elm (Ulmus ), hackberry, larch (Larix ), pecan (Carya illinoensis ), Prunus  spp., walnut (Juglans ), willow (Salix ), ","","peppered moth","NF, NS, PE, NB, QC, ON, MB, SK, AB","Pest","2/22/2001","Y 8, Y 47","","Y 8","",""
"174",176,"1/6/2096","","Biston hirtaria","Lepidoptera","Geometridae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"175",177,"1/6/2096","","Biston hispidaria","Lepidoptera","Geometridae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"176",178,"1/6/2096","","Biston robustum","Lepidoptera","Geometridae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"177",179,"1/6/2096","","Biston strataria","Lepidoptera","Geometridae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"178",180,"1/6/2096","","Boarmia bistortata","Lepidoptera","Geometridae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"179",181,"1/6/2096","","Bupalus piniarius","Lepidoptera","Geometridae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"180",182,"1/6/2096","","Calospilos miranda","Lepidoptera","Geometridae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"181",183,"1/6/2096","","Carecomotis repulsaria","Lepidoptera","Geometridae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"182",184,"1/6/1996","Forest","Caripeta divisata","Lepidoptera","Geometridae","","Tsuga spp., Picea spp., fir (Abies),  Pseudotsuga menziesii, Larix spp., Thuja spp., and Pinus spp.","1","gray spruce looper","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC,","Pest","2/22/2001","Y 9, 41","","y 34","y",""
"183",185,"1/6/2096","","Crocallis elinguaria","Lepidoptera","Geometridae","","","","","not in Canada","Pest","7/6/2099","N 33","","","","77"
"184",186,"1/6/2096","","Cystidia stratonice stratonice","Lepidoptera","Geometridae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"185",187,"1/6/1996","","Ennomos quercaria","Lepidoptera","Geometridae","","","","","not in Canada","","4/12/2001","N 9","Verified, Warpzone","","",""
"186",188,"1/6/1996","forest","Ennomos quercinaria","Lepidoptera","Geometridae","","Alnus viridis, Fagus, Carpinus betulus","","","not in Canada","Pest","4/12/2001","N 9","Verified, Warpzone","","","77"
"187",189,"1/6/1996","Forest, orchard","Ennomos subsignaria","Lepidoptera","Geometridae","","Hickory (Carya); oak (Quercus); ash (Fraxinus ); red maple (Acer rubrum); elm (Ulmus); beech (Fagus), apple (Malus), Asparagus setaceus","1","elm spanworm","NF, NS, NB, QC, ON, MB, SK","Pest","3/24/2001","Y 9","Verified, Bosik 1997.","y 41","y","77"
"188",190,"1/6/1996","Forest","Enypia venata","Lepidoptera","Geometridae","","Tsuga heterophylla, Pseudotsuga menziesii, fir (Abies), Thuja plicata, and Picea spp.","","","AB, BC","Pest","2/22/2001","Y 9","","","","77"
