PathogenSpecies,Group,HighTaxon,LowTaxon,
Coelomomyces uranotaeniae,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces tasmamensis,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces walkeri,Fungi,Chytridiomycetes,Blastocladiales,
Nosema parkeri,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora styriaca,Protozoa,Microspora,Microsporea (Microsporida),
Helmichia glandulicola,Protozoa,Microspora,Microsporea (Microsporida),
Gregarina embiae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina endomychi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina epilamprae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina fastidiosa,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina fernandoi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina fontanae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina galliveri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina gibbsi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina globosa,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina grassei,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina grylli,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina gryllotalpae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina guttiventra,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina heterochirae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina hyalocephala,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina kazumii,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina ipidiae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina kingi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina labidurae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina lagenoides,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina larvarum,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina lalatumerata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina diforma,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina electae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina fusipara,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina laucournetensis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina lipai,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina locustae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina longirostris,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina lypropsi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina macrocephalia,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina macrotermitis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina maculata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina malachiidarum,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina marteli,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina maliensis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina megaspora,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina melolonthae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina microcephala,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina mirotermitis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina princisi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina ptini,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina pusilla,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina quenui,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina raphidiae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina rhyparobiae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina rondoni,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina rostrata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina ruszkowskii,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina scarabei,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina segmentata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina statirae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina soror,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina steini,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina stygia,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina subtilis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina tahitiensis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina tenuis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina tetricis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina uniducta,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina vellardi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina verroni,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina vizri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina vulgata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina wahrmani,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Erhardovina bisphaera,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Erhardovina carabodis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Erhardovina euzeti,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida), 
Erhardovina fuscozetis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Erhardovina phtiracari,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Erhardovina platynothri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Erhardovina postneri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Erhardovina scutovertexi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana gryllorum,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana aglossae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana erratica,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana gnyanagangai,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana lancea,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana latifolia,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana latiformis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana limnophili,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),"Spelling?  Should it be limnephili?  Associations from Levine, and he  had Limnephilid hosts spelled incorrectly, too."
Leidyana linguata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana oblonga,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana vierlingi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana obtusa,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana oviformis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana peregrinata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana saigonensis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana stejskali,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana suzumushi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana tinei,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Leidyana xylocopae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Sphaerocystis termitis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Schneideria mucronata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Schneideria caudata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Schneideria pusilla,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Schneideria quadrinotati,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Schneideria schneideri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),"Spelling in Tanada & Kaya and in da Cunha & Jurand (1978, description) is Schneideria schneiderae.  Levine (1988) claims that’s a synonym and uses S. schneideri.  Is Levine right?"
Paraschneideria metamorphosa,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Neoschneideria aprilinae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Neoschneideria douxi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus africanus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus bahli,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus brevirostris,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus carabi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus depressicus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus devdhari,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus conoides,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus oblongatus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Entomophaga tenthredinis,Fungi,Zygomycetes,Entomophthorales,
Furia crustosa,Fungi,Zygomycetes,Entomophthorales,
Massospora levispora,Fungi,Zygomycetes,Entomophthorales,
Beauveria tenella,Fungi,Deuteromycetes,Unknown,
Stylocephalus longicollis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus mesomorphi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus pauliani,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus phaleriae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus eastoni,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus filiformis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus eledonae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus elongatus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus ensiferus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus giganteus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus gigas,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus reticulatus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus lingulus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus japonicus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus ingeri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus gonocephali,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus hoffmannseggi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus indicus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus punctulatus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus phalloides,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephalus variabilis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephaloides monodi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocephaloides setenis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Cystocephalus aethiopicus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Cystocephalus algerianus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Cystocephalus albrechti,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Cystocephalus trapezus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Cystocephalus gabei,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Cystocephalus hollandei,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Cystocephalus leidyi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Cystocephalus rhytinotus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Bulbocephalus indicus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Xiphocephalus africanus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Xiphocephalus gladiator,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Xiphocephalus karnatakaensis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Xiphocephalus latipes,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Xiphocephalus phaleriae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Xiphocephalus serpentula,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Lophocephalus insignis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Lophocephalus fernandezi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Lophocephaloides ardoini,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Lophocephaloides thripterae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Sphaerorhynchus ophioides,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Sphaerorhynchus stenosiae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Sphaerorhynchus chabaudi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Sphaerorhynchus hamoni,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Oocephalus hispanus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Oocephalus dromii,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Campanacephalus villiersi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Clavicephalus laosensis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Clavicephalus papuensis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Cystocephaloides prionothecae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Lepismatophila campodea,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Lepismatophila orientalis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Lepismatophila parva,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Lepismatophila piliformis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Lepismatophila plusiocampae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Lepismatophila rhombocephala,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Lepismatophila thermobiae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Colepismatophila buckleyi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Colepismatophila burti,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Colepismatophila watsonae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus acanthaclisis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus acutispora,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus tipulae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus digitatus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus conicus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus giganteus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus fimbriatus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus elongatus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus enigmaticus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus ellipsoidus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus echinatus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus dytiscorum,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus dicaeli,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus dermestica,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus crassus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus ceropriae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus ceriagrionae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus bradinopygi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus capritermes,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus americanus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus ginbeli,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus harpali,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus grassei,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus teffli,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus zophus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus histoliticus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus nitiophili,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus laticaudatus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus licini,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus megabuni,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus parvus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus permagnus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Actinocephalus puisseguri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Caulocephalus bhatiasetnai,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Caulocephalus japonicus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Asterophora caliciformis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Asterophora cordiformis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Asterophora cupressiformis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Asterophora tiaroides,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Asterophora capitata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Asterophora pachydera,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Asterophora caloglyphi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Asterophora elegans,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Asterophora mucronata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Asterophora philica,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Asterophora hemicerae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Asterophora orientalis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pilidiophora fragilis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gemmicephalus mutabilis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pileocephalus agilis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pileocephalus lanceatus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pileocephalus astaurovi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pileocephalus chinensis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pileocephalus dinarthrodes,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pileocephalus glyphotaelii,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pileocephalus nemourae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pileocephalus heeri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pileocephalus rhytinotae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pileocephalus suhoensis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pileocephalus tachycines,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Geneiorhynchus aeshnae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Geneiorhynchus monnieri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Phialoides ornata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Legeria agilis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pyxinia anobii,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pyxinia bulbifera,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pyxinia crystalligera,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pyxinia firma,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pyxinia japonica,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pyxinia major,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pyxinia moebuszi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pyxinia trogodermi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pyxinia myelophili,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pyxinia rubecula,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pyxinia tenuis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Discorhynchus truncatus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Steinina alphitobii,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Steinina coptotermitis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Steinina diaperis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Steinina maxima,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Steinina microgoni,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Steinina harpali,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Steinina dollfusi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Steinina ellipsoidalis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Steinina obconica,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Steinina ovalis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Steinina rotunda,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Steinina sphaerosphora,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Steinina rotundata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Steinina trycheri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Steinina termitis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pomania hovassei,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Bothriopsides agrypniae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Bothriopsides histrio,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Bothriopsides acilii,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Bothriopsides graphoderi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Bothriopsides claviformis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Bothriopsides terpsichorella,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stictospora kabutomusi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Coleorhynchus heros,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Taeniacystis mira,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocystis ensifera,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stylocystis riouxi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Agrippina bona,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Anthorhynchus longispora,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Anthorhynchus sophiae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Sciadiophora goronowitschi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Sciadiophora phalangii,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Sciadiophora gagrellula,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Sciadiophora fissidens,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Sciadiophora caudata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Alaspora depressa,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ascocephalus armatus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Epicavus araeoceri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Epicavus cratoparis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Levinea agriocnemidis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),"Update name?  Sarkar 1995 (EDWIP ref #1859), reports that the genus Levineia Kori & Amoji 1986 (spelling difference noted) is a synonym of Menospora."
Acanthospora crypturgi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Acanthospora elongata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Acanthospora psychodae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Acanthospora bengalensis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Corycella armata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Acanthospora polymorpha,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora gracilis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora stelliformis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora similis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora uncinata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora uleiotae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ramicephalus albertianus,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ramicephalus zophophili,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ramicephalus amphoriformis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora balazyi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora codreanui,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora gigantea,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora umbelliformis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora rostrata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora puytoraci,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora octacantha,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora noteri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora hispani,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora ischnurae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora ovoides,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora penetreti,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora philonthi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora tuzetae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ancyrophora mutabilis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
